key,alt,answer
高達,"gāodá (高達, 高达)",reach up to
關鍵,"guānjiàn (關鍵, 关键)","nub, turning_point, issue, crux, anchor, crux of the matter, juncture, hinge, mainstay, linchpin, lynchpin, key, backbone"
作法,"zuòfǎ (作法, 作法)","course of action, technique of writing, way of doing things, mode, practice, course, model"
來到,"láidào (來到, 来到)","arrive, come"
如何,"rúhé (如何, 如何)",how about it
胡適,"húshì (胡適, 胡适)","philosopher, leading intellectual, leading intellectual,  philosopher,  exponent of vernacular writing, leading intellectual,  philosopher,  expon, exponent of vernacular writing"
倒,"dào (倒, 倒)",actually
人人,"rénrén (人人, 人人)",everybody
仔細,"zǐxì (仔細, 仔细)","careful, be careful, look out"
原,"yuán (原, 原)","originally, formerly"
成就,"chéngjiù (成就, 成就)","achievement, accomplishment, success"
視,"shì (視, 视)",depend
行銷,"xíngxiāo (行銷, 行销)",sell
好幾,"hǎojǐ (好幾, 好几)",det.: several
辛苦,"xīnkǔ (辛苦, 辛苦)","try, endure hardship, work hard, tug, tote, lug"
年輕人,"niánqīngrén (年輕人, 年轻人)","kid, sapling, young people, youngster, jack, young, young buck, chicken, kipper, youngling, punk, laddie, young_man, loon, young man, youth, stripling, shaveling, junior, sprat, whiffet, cub, springald, younker"
信,"xìn (信, 信)","letter, mail, message"
漸漸,"jiànjiàn (漸漸, 渐渐)","gradually, by degrees, little by little"
真,"zhēn (真, 真)","real, true"
教材,"jiàocái (教材, 教材)","textbook, teaching material"
自然,"zìrán (自然, 自然)","natural, free from affectation"
動詞,"dòngcí (動詞, 动词)",verb
整理,"zhěnglǐ (整理, 整理)","put in order, arrange"
男生,"nánshēng (男生, 男生)","brother, sonny boy, man, male, laddie, lad, boy student, male student, boy, schoolboy, sonny, cub, man student"
遊客,"yóukè (遊客, 遊客)","traveler, holidaymaker, tourist, traveller, visitor, pilgrim, sightseer, tourism"
等,"děng (等, 等)",till
女生,"nǔshēng (女生, 女生)","schoolgirl, girl student, female student, female, girl, woman student, co ed"
對,"duì (對, 对)",m.[general]
懷疑,"huáiyí (懷疑, 怀疑)","suspect, doubt"
痛苦,"tòngkǔ (痛苦, 痛苦)",be painful; pain
交換,"jiāohuàn (交換, 交换)","reciprocate, switching, barter, exchange, commute, switch, communicate, interchange, bandy, shift, trade, batter, truck, swop, change, counterchange, swap, clear, buy, transpose, change over, commune, turn around"
互動,"hùdòng (互動, 互动)",relate
設置,"shèzhì (設置, 设置)","set/put up, install"
張,"zhāng (張, 张)",Surname
留,"liú (留, 留)","continue, stay, keep, leave behind, leave, grow, accept,  let grow, leave"
居住,"jūzhù (居住, 居住)","inhabit, occupy, shack_up, locate, domicile, shack, abide, subsist, settle, live, howff, reside, indwell, populate, lodge in, quarter, dwell, people, belong, bide, hang_out, house, residence"
因應,"yīnyìng (因應, 因应)",in response to
丈夫,"zhàngfū (丈夫, 丈夫)","masterman, man, papa, manliness, mister, goodman, married man, husband, hub, hubby"
紀錄,"jìlù (紀錄, 纪录)","minutes, notes, record, record"
答,"dá (答, 答)","answer, reply, return a call/etc. , reciprocate"
愛,"ài (愛, 爱)",love
畫家,"huàjiā (畫家, 画家)","painterly, creative person, artist, painter, penman, artists"
數字,"shùzì (數字, 数字)","numeral, numerical, digit, amount, number, numeric, figure, digital, quantity"
一向,"yīxiàng (一向, 一向)","typically, all_along, up to now, always, consistently, all along, usually, forever"
連線,"liánxiàn (連線, 连线)",connect
以免,"yǐmiǎn (以免, 以免)","conj.: in order to avoid,  so as not to"
固定,"gùdìng (固定, 固定)","set, plant, imbed, fix, strap, jell, fixed, affix, peg, stick, clench, rivet, regularization, rigidify, embed, infix, anchor, fixate, hold, regularize, implant, stitch, stabile, engraft, fasten, immobilize, moor, peg down, flat"
通信,"tōngxìn (通信, 通信)","communicate by letter, correspond"
恢復,"huīfù (恢復, 恢复)","resume, renew, recover, regain, restore, reinstate, rehabilitate"
修正,"xiūzhèng (修正, 修正)","revise, amend, correct"
景觀,"jǐngguān (景觀, 景观)","view, perspective, aspect, scene, prospect, vista, panorama, landscape"
線,"xiàn (線, 线)","thread, string, wire"
縣市,"xiànshì (縣市, 县市)",county and city
他人,"tārén (他人, 他人)","others, another person"
基於,"jīyū (基於, 基于)","on the basis of, in view of, because of"
只是,"zhǐshì (只是, 只是)","conj.: however, but then"
實現,"shíxiàn (實現, 实现)","realize, achieve, bring about"
演講,"yǎnjiǎng (演講, 演讲)","lecture, speech"
男子,"nánzǐ (男子, 男子)","man, male"
具備,"jùbèi (具備, 具备)","be provided with, supply, render, have, furnish, possess, provide, possession"
奇怪,"qíguài (奇怪, 奇怪)",wonder
空氣,"kōngqì (空氣, 空气)","air, airspace, atmosphere, aerial, deflector, atmospherics"
會員,"huìyuán (會員, 会员)",member
取,"qǔ (取, 取)","have, withdraw, choose, assume, take away, adopt, assumption, select, draw_out, withdrawal, obtain, remove, take, fetch, get, aim at, pick_up, sponge, adoption"
深刻,"shēnkè (深刻, 深刻)","deep, profound"
漂亮,"piàoliàng (漂亮, 漂亮)","posh, handsome, brilliant, remarkable, splendid, beautiful, smart"
菜,"cài (菜, 菜)","vegetable, greens, dish, course, food"
希望,"xīwàng (希望, 希望)",hope
相互,"xiānghù (相互, 相互)","each other, mutually, one another, in return, reciprocally"
多數,"duōshù (多數, 多数)","trillions, millions, mort, relative majority, throng, det : majority, prevalence, multitude, lac, Host, host, bulk, horde, raft, million, lakh, rimption, pack, skit, strength, acre, generality, ruck, chunk, number, shoal, multiplicity, billions, preponderance, jillions, zillions, grist, world, majority, meiny, regiment, legion, mass, plurality"
總經理,"zǒngjīnglǐ (總經理, 总经理)","CEO, general_manager, chief executive officer, chief operating officer, executive, managing director, general manager, president"
很多,"hěnduō (很多, 很多)","many, much"
收,"shōu (收, 收)","receive, accept, take in/back, gather in, conclude, stop"
權利,"quánlì (權利, 权利)","privilege, claim, merit, title, entitlements, escheatage, right, dib, authority, competency, obligation, pretension, prescription, dibs"
照片,"zhàopiàn (照片, 照片)","snapshot, shot, likeness, picture, photo, icon, image, caption, exposure, photograph, pic, ikon"
病,"bìng (病, 病)",disease
物質,"wùzhí (物質, 物质)","stuff, material, substance, materiality, matter"
宿舍,"sùshè (宿舍, 宿舍)","berth, serai, hall, dorm room, lodging_house, dormitory room, dorm, hostel, billet, dormitory, living quarters, house"
即,"jí (即, 即)","be, mean"
教練,"jiàoliàn (教練, 教练)","training, drillmaster, wise man, tutor, drilling, handler, coacher, coach, instructor, private instructor, trainer, mentor"
宇宙,"yǔzhòu (宇宙, 宇宙)","all, cosmic, existence, world, creation, system, macrocosm, metagalactic, nature, cosmos, universal, universe"
更加,"gèngjiā (更加, 更加)",even more
住宅,"zhùzhái (住宅, 住宅)","shebang, dwelling_house, dwelling, roof, abode, residential, home, toft, howff, housing, habitation, homesite, tenement, place, residence, house, property"
明白,"míngbái (明白, 明白)","clarify, downright, recognize, agnize, tumble, follow, make out, catch, understand, discern, think, know, seize, agnise, twig, realize, get, realization"
竟然,"jìngrán (竟然, 竟然)","unexpectedly, to one's surprise"
光,"guāng (光, 光)","light, ray, brightness, honor, glory, luster"
迅速,"xùnsù (迅速, 迅速)","fast, speedy, rapid, prompt"
睡,"shuì (睡, 睡)",sleep
大多數,"dàduōshù (大多數, 大多数)","det.: most of,  the majority of"
不良,"bùliáng (不良, 不良)","unhealthy, harmful, bad"
自動,"zìdòng (自動, 自动)",automatic
哦,"ó (哦, 哦)",particle: used when informing sb. of st. to draw people's attention ; indicating mild imperative/suggestion/exclamation/guess/etc.
突破,"túpò (突破, 突破)","make a breakthrough, surmount"
後面,"hòumiàn (後面, 后面)","rear, back, in the rear, latter, behind, rearward, at the back"
污染,"wūrǎn (污染, 污染)","pollute, contaminate"
陸續,"lùxù (陸續, 陆续)","continuously, one after another, in succession"
飛,"fēi (飛, 飞)","hover in the air, flight, hover, volatilize, wing, disappear through volatilization, flutter, skip, hover/flutter in the air, fly, blow, flutter in the air, flit"
內心,"nèixīn (內心, 内心)","interior, inner being, conscience, inside, breast, bosom, innermost being, incenter, heart"
女子,"nǔzǐ (女子, 女子)","lady, female, femme, young lady, adult female, missy, young woman, fem, moll, womankind, fille, damsel, girl, miss, woman, wren, blade"
玻璃,"bōlí (玻璃, 玻璃)","plastic, vitrum, putty, vitreous, nylon, window, windowpane, cutter, glass"
神,"shén (神, 神)","god, supreme, architect, Thor, superpersonality, Providence, providence, Deus, immortal, energy, numen, Being, divine, being, Surname, maker, Allah, vitality, look, deity, spirit, gum, omnipotent, anthropomorphism, expression, mind, soul, omniscience, immortality, omniscient, kami, Elohim, divinity"
中,"zhōng (中, 中)",China
市民,"shìmín (市民, 市民)","citizen, burgess, citizenry, metropolitan, townsman, townsfolk, town, towner, civic, residents of a city, townee, burgher, townspeople"
承認,"chéngrèn (承認, 承认)","receive, acknowledge, okay, approbate, validate, recognize, avow, admittance, count, confess, sanctify, grant, countersign, avouch, admit, acknowledgement, reckon, own, sanction, give diplomatic recognition, concede, cede, give, ratify, agree, recognise, accept, recognition, yield, allow, endorse, profess"
不滿,"bùmǎn (不滿, 不满)","resentful, dissatisfied"
年齡,"niánlíng (年齡, 年龄)","summer, age"
記憶,"jìyì (記憶, 记忆)",memory
打算,"dǎsuàn (打算, 打算)","mean, specify, plan, think, intention, propose, design, purpose, contemplate, allot, destine, calculate, intend, designate, be after"
應用,"yìngyòng (應用, 应用)","apply, use"
老闆,"lǎobǎn (老闆, 老板)","proprietor, chief, shopkeeper, Tuan, baas, honcho, hirer, storekeeper, milord, bwana, mugwump, cit, market keeper, buckra, governor, boss, joss, tradesman, employer, guv"
成熟,"chéngshú (成熟, 成熟)","ripe, mature"
進,"jìn (進, 进)","enter, come/go into, advance"
證明,"zhèngmíng (證明, 证明)","prove, testify, bear out"
國立,"guólì (國立, 国立)","run, state, state maintained, national, state run, state maintained, national run, state/national maintained/run, national maintained"
施工,"shīgōng (施工, 施工)",work on of construction
名,"míng (名, 名)","name, fame, reputation"
叫做,"jiàozuò (叫做, 叫做)","clepe, be known as, be called, call"
入,"rù (入, 入)","agree with, set of sun , set, take in, join, receive, be admitted into, become a member of, enter, descend, infiltrate, conform with, conform to, interlard"
包含,"bāohán (包含, 包含)","comprehend, consist of, subtend, imply, boast, go, colligate, include, hold, encompass, embrace, bear, carry, comprise, incorporate, cover, embody, connote, consist in, house, subsume, contain"
場所,"chángsuǒ (場所, 场所)","site, digging, terrain, locality, point, arena, scene, room, locus, location, locale, stead, scene of action, lieu, amenity, meridian, where, spot, space, land site, place, seat"
後,"hòu (後, 后)","rear, back, behind"
行,"xíng (行, 行)","go, travel, prevail, circulate, be current"
休息,"xiūxí (休息, 休息)","repose, have, lie dormant, respire, take time off, have a rest, take a rest, take off, relax, take_time_off, have/take a rest, rest"
從來,"cónglái (從來, 从来)","all along, at all times, always"
東,"dōng (東, 东)",east
要是,"yàoshì (要是, 要是)","conj.: if, suppose, in case"
適應,"shìyìng (適應, 适应)","be accustomed to, conform, be used to, fit, humor, gear, orient, phase, adjust, accommodate, be accustomed, be inure to, get used to, adaptation, adapt, suit"
工會,"gōnghuì (工會, 工会)",trade/labor union
聽說,"tīngshuō (聽說, 听说)","hear, understand, learn, rumor, hear that..., hear/understand that..., be told, understand that..., hear of"
高級,"gāojí (高級, 高级)","high level,  high class,  quality"
距離,"jùlí (距離, 距离)",distance
不易,"búyì (不易, 不易)",uneasy
有沒有,"yǒuméiyǒu (有沒有, 有没有)",have or not have
人性,"rénxìng (人性, 人性)","reason, hypostasis, humanitarianism, normal human feelings, humanness, humanity, humanism, human nature, flesh, humanistic, manhood"
走到,"zǒudào (走到, 走到)",go to
拍,"pāi (拍, 拍)","clap, pat, lick sb.'s boots"
馬,"mǎ (馬, 马)",horse
規則,"guīzé (規則, 规则)","rule, regulation"
以外,"yǐwài (以外, 以外)","other than, except, beyond, outside"
關懷,"guānhuái (關懷, 关怀)",show loving care/concern for
另一方面,"lìngyīfāngmiàn (另一方面, 另一方面)",conj.: on the other hand
實力,"shílì (實力, 实力)","strength, actual strength, efficiency"
假如,"jiǎrú (假如, 假如)","conj.: if, supposing, in case"
研發,"yánfā (研發, 研发)","research and develop, R&D, research and develop something, research and development"
攻擊,"gōngjí (攻擊, 攻击)","attack, assault, accuse, vilify"
幹部,"gànbù (幹部, 干部)","organizer, staff, cadre"
資格,"zīgé (資格, 资格)","claim, credential, prerequisite, character, capability, qualifications, requirement, qualification, capacity, root/basis part of a character, status, sufficiency, seniority, competence, fitness, competency, condition"
引進,"yǐnjìn (引進, 引进)","recommend, introduce from elsewhere"
做到,"zuòdào (做到, 做到)","achievement, accomplishment, achieve, accomplish"
吃飯,"chīfàn (吃飯, 吃饭)","feed, dine, make a living, keep alive, have a meal, eat"
保險,"bǎoxiǎn (保險, 保险)",insurance
發行,"fāxíng (發行, 发行)","issue, publish, distribute, put on sale"
壞,"huài (壞, 坏)",spoiled
證券,"zhèngquàn (證券, 证券)","document, bond, bill, stock certificate, security, certificate, portfolio, bond certificate, negotiable securities, stock"
大幅,"dàfú (大幅, 大幅)",to a great extent
還有,"háiyǒu (還有, 还有)","conj.: furthermore, in addition"
公斤,"gōngjīn (公斤, 公斤)",m.[standard]
性質,"xìngzhí (性質, 性质)","kidney, attribute, fibre, description, affection, temper, nature, self, mold, temperament, property, composition, character, hair, bent, kind, disposition, habitude, meridian, dimension, quality, note, sort"
某些,"mǒuxiē (某些, 某些)","little, some, det.: come"
幸福,"xìngfú (幸福, 幸福)",happy
以上,"yǐshàng (以上, 以上)",the above/foregoing/above mentioned
明確,"míngquè (明確, 明确)","define, make clear/definite, make definite, definite, make clear"
聯盟,"liánméng (聯盟, 联盟)","conference, alliance, coalition, hookup, ally, Verein, confederacy, federacy, circuit, combination, Bund, confederation, federation, union, bloc, league, axis"
主持,"zhǔchí (主持, 主持)","preside, head, care of, take care of, preside over, chair, minister, sponsor, direct, uphold, direction, take charge/care of, take charge of, moderate, emcee, celebrate, manage, host, mastermind, officiate, stand for, managment, run, take charge, compere"
一再,"yīzài (一再, 一再)","repeatedly, again and again, time and again, over_and_over"
保育,"bǎoyū (保育, 保育)",child care
師生,"shīshēng (師生, 师生)",teacher and student
立委,"lìwěi (立委, 立委)",legislator
改,"gǎi (改, 改)","alteration, rectification, transformation, change, correct, put ... right, transform, rectify, revision, switch over to, ameliorate, revise, put right, amend, correction, gybe, alter"
年,"nián (年, 年)","age, New Year, a period in one's life, a period in history, harvest"
多半,"duōbàn (多半, 多半)",det : the greater part
管道,"guǎndào (管道, 管道)","pipeline, conduit, piping, channel for communication/etc."
絕不,"juébù (絕不, 绝不)","to no degree, by no means, scarcely, nowise, not by a long sight, not by a blame sight, never, ne'er, hardly"
報,"bào (報, 报)","newspaper, periodical, bulletin, telegram"
認同,"rèntóng (認同, 认同)","identify,  have meeting of the minds"
一致,"yīzhì (一致, 一致)","symphonize, coheiress, identical, quadrate, accord, coincide, equate, homologize, answer, comport, concur, consist, unanimous, chime_in, agree, jibe, unite, square, correspond, consort"
最多,"zuìduō (最多, 最多)",the majority
股票,"gǔpiào (股票, 股票)","capital stock, share, stock certificate, security, share certificate, stock"
作者,"zuòzhě (作者, 作者)","composer, author, writer, wright, paragrapher, auteur, paternity"
島,"dǎo (島, 岛)","island, isle"
細胞,"xìbāo (細胞, 细胞)",cell
病毒,"bìngdú (病毒, 病毒)","worm, viral, virus"
衛生,"wèishēng (衛生, 卫生)","hygiene, health, sanitation"
易,"yì (易, 易)",easy
抗議,"kàngyì (抗議, 抗议)",protest
免費,"miǎnfèi (免費, 免费)","be free of charge, free_of_charge, gratuitous, gratis"
教育局,"jiàoyūjú (教育局, 教育局)",Bureau of Education
哪,"na (哪, 哪)",particle: formed by linking syllable ending in n with particle a
農業,"nóngyè (農業, 农业)","farm, farming, geoponics, husbandry, agricultural, plow, agriculture"
管制,"guǎnzhì (管制, 管制)","regulate, govern, guard, break_in, tie_up, tutor, regularize, put under surveillance, order, control"
一定,"yīdìng (一定, 一定)",certain
自動化,"zìdònghuà (自動化, 自动化)",automation
展示,"zhǎnshì (展示, 展示)","reveal, lay bare"
情感,"qínggǎn (情感, 情感)","affect, friendship, sensibility, bond, emotion, bosom, breast, sentiment, emotional, chasm, feeling, feelings"
熱,"rè (熱, 热)",hot
一邊,"yībiān (一邊, 一边)","at the same time, simultaneously;on the one/other hand"
忘,"wàng (忘, 忘)","forget, overlook, neglect"
拒絕,"jùjué (拒絕, 拒绝)","deny, rebut, bar, repel, naysay, scout, abnegate, overrule, reject, decline, disclaim, eliminate, refusal, deduct, turn away, snub, shut, thumb, debar, abjure, override, exclude, recant, turndown, withhold, renunciate, retract, repudiate, forswear, turn_down, turn down, nill, kick, brush_off, repulse, rule out, brush off, recoup, pass up, rebuff, rejection, renounce, refuse, nix, foreclose"
只有,"zhǐyǒu (只有, 只有)","conj.: only,  alone"
妻子,"qīzǐ (妻子, 妻子)","frow, feme, married woman, wifelike, wife, woman, femme, missis, squaw"
行業,"hángyè (行業, 行业)","metier, mystery, profession, line, game, craft, calling, trade, industry, biz, walk_of_life, racket, living"
經理,"jīnglǐ (經理, 经理)","amaldar, intendant, manager, steward, executive, managing director, exec, director, skipper, syndic, executive director"
那樣,"nàyàng (那樣, 那样)","that kind of, like that"
和平,"hépíng (和平, 和平)","mild, peaceful"
哭,"kū (哭, 哭)","greet, cry, weep"
城,"chéng (城, 城)","wall, city wall, city, kasbah, town, township, burgh, castle, burg"
根,"gēn (根, 根)",m.[general]
主人,"zhǔrén (主人, 主人)","lord, housemaster, host, symposiarch, marse, bwana, padrone, boss, master, baas, provider, mast, owner, landlord"
廠,"chǎng (廠, 厂)","factory, mill, plant, works, yard, depot"
大人,"dàrén (大人, 大人)","grownup, adult, milord, respectful salutation for one's seniors/, grown up, respectful salutation for one's parents, Your Excellency, panjandrum, Highness, respectful salutation for one's parents/seniors/etc., Tuan, Bahadur, bahadur, sahib"
機器,"jīqì (機器, 机器)","enginery, life, machinery, machine, plant, apparatus, engine, gizmo"
不得,"bùdé (不得, 不得)","must/may not, not be allowed"
橋,"qiáo (橋, 桥)","backbend, fret, span, pons, pier arch, bridge, spar"
以下,"yǐxià (以下, 以下)",the following
幅,"fú (幅, 幅)","vector, width of cloth, size, piece, m.[general], "
公分,"gōngfēn (公分, 公分)",m.[standard]
失敗,"shībài (失敗, 失败)","be defeated, fail, lose"
真實,"zhēnshí (真實, 真实)","true, real, authentic, factual"
主張,"zhǔzhāng (主張, 主张)","advocate, stand for, maintain, hold"
外面,"wàimiàn (外面, 外面)","surface, outward appearance, without, outside, exterior"
直,"zhí (直, 直)","directly, straight, continuously, just, simply"
車子,"chēzi (車子, 车子)",vehicle
星期,"xīngqí (星期, 星期)","Sunday, week"
表面,"biǎomiàn (表面, 表面)","crust, superficial, facing, show, exterior, obverse, rind, face, superficies, top, outside, appearance, facade, surface, bosom, window dressing"
紐約,"niǒuyuē (紐約, 纽约)",New York city in American
做法,"zuòfǎ (做法, 做法)","way of doing sth., modus_operandi, practice, manner, method, making sth., way of making sth., shtick, way, way of doing, way of doing/making sth., personal manner"
創意,"chuàngyì (創意, 创意)","create new meanings, get up and"
台中,"táizhōng (台中, 台中)",Taichung big city in Taiwan
乃,"nǎi (乃, 乃)",therefore
構成,"gòuchéng (構成, 构成)","constitute, form, compose, make up"
網際,"wǎngjì (網際, 网际)",internet
怎麼辦,"zěnmebàn (怎麼辦, 怎么办)",what should someone do?
事務,"shìwù (事務, 事务)","pursuit, shebang, routine, affair, work, concern, general affairs, desk, business, matter, transaction"
眼前,"yǎnqián (眼前, 眼前)",before one's eyes
警察,"jǐngchá (警察, 警察)","police officer, cop, trooper, bluecoat, finest, jack, peon, policeman, police force, constable, policemen, flattie, fuzz, constabulary, shamus, bull, bobby, robert, copper, tipstaff, rozzer, flatfoot, john, peeler, Vopo, law, runner, officer, gumshoe, pig, police, the police, beetle crusher, flic"
個性,"gèxìng (個性, 个性)","kidney, specific property, personalism, fibre, individuation, personhood, particularity, fiber, character, individual character, self identity, mentality, idiosyncrasy, spirit, individuality, individualism, selfhood, personality"
研究院,"yánjiùyuàn (研究院, 研究院)","research institute, academy"
意願,"yìyuàn (意願, 意愿)","will, wish, desire, inclination, aspiration, request, pleasure"
視訊,"shìxùn (視訊, 视讯)","visual signal, video, display"
體制,"tǐzhì (體制, 体制)","frame, organization, system of organization, framework, system, apparatus, framing, organisation"
經濟部,"jīngjìbù (經濟部, 经济部)",Ministry of Economic Affairs
感受,"gǎnshòu (感受, 感受)","perception, sentiment, mood"
負責人,"fùzérén (負責人, 负责人)","sponsor, point man, leading cadre, person in charge, undertaker, keeper"
陽光,"yángguāng (陽光, 阳光)","sunray, shine, sun, sunlight, sunshine, sunbeam"
